sensor,a,b,intercept,treatment,timestamp
GM302B_mean,24.723570,-8.377305,-143.237093,min_monitor_20250403_225628,1743695788.2300568
GM502B_mean,29.759100,-10.814732,-202.517447,min_monitor_20250403_225628,1743695788.2300568
GM702B_mean,6.819009,1.931370,98.847638,min_monitor_20250403_225628,1743695788.2300568
GM102B_mean,23.462373,-8.611978,-263.262248,min_monitor_20250403_230631,1743696391.6830523
GM302B_mean,24.722699,-8.435914,-140.768557,min_monitor_20250403_230631,1743696391.6830523
GM502B_mean,29.758048,-10.885549,-199.534734,min_monitor_20250403_230631,1743696391.6830523
GM702B_mean,6.819026,1.932512,98.799525,min_monitor_20250403_230631,1743696391.6830523
GM102B_mean,23.454097,-8.668401,-260.650637,min_monitor_20250403_231634,1743696994.2410464
GM302B_mean,24.713439,-8.499044,-137.846498,min_monitor_20250403_231634,1743696994.2410464
GM502B_mean,29.746725,-10.962738,-195.961978,min_monitor_20250403_231634,1743696994.2410464
GM702B_mean,6.818986,1.932242,98.812034,min_monitor_20250403_231634,1743696994.2410464
GM102B_mean,23.446364,-8.723125,-258.129170,min_monitor_20250403_232637,1743697597.255001
GM302B_mean,24.704589,-8.561673,-134.960766,min_monitor_20250403_232637,1743697597.255001
GM502B_mean,29.735974,-11.038825,-192.456156,min_monitor_20250403_232637,1743697597.255001
GM702B_mean,6.818929,1.931840,98.830574,min_monitor_20250403_232637,1743697597.255001
GM102B_mean,23.435225,-8.778987,-255.453598,min_monitor_20250403_233640,1743698200.6053703
GM302B_mean,24.691870,-8.625457,-131.905764,min_monitor_20250403_233640,1743698200.6053703
GM502B_mean,29.720366,-11.117093,-188.707418,min_monitor_20250403_233640,1743698200.6053703
GM702B_mean,6.818268,1.928525,98.989338,min_monitor_20250403_233640,1743698200.6053703
GM102B_mean,23.402015,-8.839920,-251.865263,min_monitor_20250403_234643,1743698803.958931
GM302B_mean,24.653848,-8.695219,-127.797512,min_monitor_20250403_234643,1743698803.958931
GM502B_mean,29.673589,-11.202918,-183.653171,min_monitor_20250403_234643,1743698803.958931
GM702B_mean,6.815352,1.923174,99.304457,min_monitor_20250403_234643,1743698803.958931
GM102B_mean,23.398918,-8.891856,-249.614240,min_monitor_20250403_235647,1743699407.332451
GM302B_mean,24.650231,-8.755892,-125.167799,min_monitor_20250403_235647,1743699407.332451
GM502B_mean,29.669136,-11.277622,-180.415371,min_monitor_20250403_235647,1743699407.332451
GM702B_mean,6.814985,1.917017,99.571308,min_monitor_20250403_235647,1743699407.332451
